"name","type","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se"
"N","numeric",0.166666666666667,45,465.005084745763,462,462,NA,465.005084745763,NA,30,4007,3977,4.55020397709267,22.6178511591381,34.2564510616509,85.2823176876998
"N_m","numeric",0.793785310734463,20,461.178082191781,235,235,NA,461.178082191781,NA,16,1275,1259,0.888024693079254,2.21254463134711,-1.09792187007066,-1.3766459520588
"N_f","numeric",0.793785310734463,20,354.650684931507,182,182,NA,354.650684931507,NA,14,1046,1032,1.08826192779942,2.71144271619614,-0.570433330523673,-0.715246464062418
"SES","character",0,37,NA,NA,144,"999                                                                                                                                                                                                                                                            ",NA,0.90587395065275,NA,NA,NA,NA,NA,NA,NA
"SES0","character",0,3,NA,NA,702,"                                                ",NA,0.01683743496441,NA,NA,NA,NA,NA,NA,NA
"Country","character",0,20,NA,NA,287,"US                                                                                                                                                                                                                                                             ",NA,0.791499090299722,NA,NA,NA,NA,NA,NA,NA
"COUNT0","character",0,1,NA,NA,708,"                                                ",NA,0,NA,NA,NA,NA,NA,NA,NA
"P_Instrument","character",0,47,NA,NA,117,"                                                                                                                                                                                                                                                               ",NA,0.931736569951163,NA,NA,NA,NA,NA,NA,NA
"P_INS0","character",0,2,NA,NA,704,"                                                ",NA,0.0112355964122697,NA,NA,NA,NA,NA,NA,NA
"P_OBS","factor",0.165254237288136,2,NA,NA,542,"Nee",NA,0.152072400159184,NA,NA,NA,NA,NA,NA,NA
"P_PR","factor",0.165254237288136,2,NA,NA,320,"Nee",NA,0.496562939295295,NA,NA,NA,NA,NA,NA,NA
"P_SPR","factor",0.169491525423729,2,NA,NA,582,"Nee",NA,0.0201999167013744,NA,NA,NA,NA,NA,NA,NA
"P_CR","factor",0.165254237288136,2,NA,NA,332,"Nee",NA,0.492371471680395,NA,NA,NA,NA,NA,NA,NA
"P_MIX","factor",0.17090395480226,2,NA,NA,581,"Nee",NA,0.0202339734566952,NA,NA,NA,NA,NA,NA,NA
"P_Inv","factor",0.186440677966102,2,NA,NA,547,"Nee",NA,0.0956247588734567,NA,NA,NA,NA,NA,NA,NA
"P_pos","factor",0.186440677966102,2,NA,NA,567,"Nee",NA,0.03076171875,NA,NA,NA,NA,NA,NA,NA
