"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"P_SPR","factor",588,0.0651828298887122,2,NA,NA,582,"Nee",NA,0.0201999167013744,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_CR","factor",591,0.0604133545310016,2,NA,NA,332,"Nee",NA,0.492371471680395,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_MIX","factor",587,0.0667726550079491,2,NA,NA,581,"Nee",NA,0.0202339734566952,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Inv","factor",576,0.0842607313195548,2,NA,NA,547,"Nee",NA,0.0956247588734567,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_pos","factor",576,0.0842607313195548,2,NA,NA,567,"Nee",NA,0.03076171875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Neg","factor",576,0.0842607313195548,2,NA,NA,557,"Nee",NA,0.0637960551697532,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Inc","factor",574,0.0874403815580286,2,NA,NA,570,"Nee",NA,0.0138401583119865,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_War","factor",576,0.0842607313195548,2,NA,NA,406,"Nee",NA,0.416063850308642,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Acc","factor",576,0.0842607313195548,2,NA,NA,558,"Nee",NA,0.060546875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Sen","factor",575,0.0858505564387917,2,NA,NA,539,"Nee",NA,0.117377693761815,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Sup","factor",575,0.0858505564387917,2,NA,NA,555,"Nee",NA,0.0671455576559548,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Mon_poor","factor",575,0.0858505564387917,2,NA,NA,573,"Nee",NA,0.006932325141777,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Mon","factor",576,0.0842607313195548,2,NA,NA,566,"Nee",NA,0.0341194058641976,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_dir","factor",588,0.0651828298887122,2,NA,NA,584,"Nee",NA,0.0135128881484567,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Dem","factor",575,0.0858505564387917,2,NA,NA,569,"Nee",NA,0.0206517958412098,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Aut","factor",575,0.0858505564387917,2,NA,NA,525,"Nee",NA,0.158790170132325,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_prot","factor",573,0.0890302066772655,2,NA,NA,569,"Nee",NA,0.0138641423693917,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Con","factor",575,0.0858505564387917,2,NA,NA,571,"Nee",NA,0.0138162570888469,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Str_Con","factor",575,0.0858505564387917,2,NA,NA,549,"Nee",NA,0.0863455576559546,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_B_Con","factor",576,0.0842607313195548,2,NA,NA,538,"Nee",NA,0.123239776234568,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_P_Con","factor",576,0.0842607313195548,2,NA,NA,546,"Nee",NA,0.0987413194444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Pun","factor",575,0.0858505564387917,2,NA,NA,571,"Nee",NA,0.0138162570888469,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Dis_indu","factor",573,0.0890302066772655,2,NA,NA,561,"Nee",NA,0.0410076478166717,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Dis","factor",576,0.0842607313195548,2,NA,NA,572,"Nee",NA,0.0137924382716048,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_C_Dis","factor",576,0.0842607313195548,2,NA,NA,570,"Nee",NA,0.0206163194444444,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_I_Dis","factor",576,0.0842607313195548,2,NA,NA,566,"Nee",NA,0.0341194058641976,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Hos","factor",576,0.0842607313195548,2,NA,NA,544,"Nee",NA,0.104938271604938,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_cor_pun","factor",576,0.0842607313195548,2,NA,NA,574,"Nee",NA,0.00692033179012341,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_har","factor",576,0.0842607313195548,2,NA,NA,558,"Nee",NA,0.060546875,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P_Rej","factor",264,0.580286168521463,2,NA,NA,254,"Nee",NA,0.0728879706152432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PB_instrument","character",629,0,40,NA,NA,90,"Kindness and Generosity subscale of Values in Action Inventory of Strengths (Peterson & Seligman, 2004).                                                                                       ",NA,0.939750935823133,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PB_OBS","factor",591,0.0604133545310016,2,NA,NA,537,"Nee",NA,0.166043958875519,NA,NA,NA,NA,NA,NA,NA,NA,NA
