"label","est_sig","se","pvalue","confint"
"AonF","0.09***",0.0213975414881401,9.08467298813911e-06,"[0.05, 0.14]"
"AonM","0.12***",0.0184297412288214,2.59804857273118e-11,"[0.09, 0.16]"
"FwithM","0.37***",0.053256291440052,5.53099136829947e-12,"[0.26, 0.47]"
"D_parenting","0.03",0.0283615269626082,0.290159868877954,"[-0.03, 0.09]"
