"","Parameter","zval","pval","FailsafeN"
"1",R(mother, child),0.169802749811138,0.865165264299614,10257
"2",R(mother, father),2.55363139107272,0.0106606048235655,30616
"3",R(father, child),1.30281039566337,0.192639500780954,8200
